Precision,Constant,IsLeq,MapTech,Leak,Dyn,Total,Cells,Cell_Area,Total_Area,NAND2_Area
10,0,1,0,0.012,2.639,2.65,9,45,46,22
10,1,1,0,0.01,2.474,2.484,8,40,41,20
10,2,1,0,0.009,2.603,2.613,9,45,46,22
10,3,1,0,0.009,2.305,2.314,7,35,36,18
10,4,1,0,0.009,2.698,2.707,9,45,46,22
10,5,1,0,0.008,2.442,2.45,8,40,41,20
10,6,1,0,0.008,2.581,2.589,9,45,46,22
10,7,1,0,0.007,2.072,2.08,6,30,31,15
10,8,1,0,0.009,2.876,2.885,9,45,46,22
10,9,1,0,0.008,2.7,2.708,8,40,41,20
10,10,1,0,0.007,2.741,2.749,9,45,46,22
10,11,1,0,0.007,2.412,2.419,7,35,36,18
10,12,1,0,0.008,2.997,3.005,9,45,46,22
10,13,1,0,0.007,2.744,2.751,8,40,41,20
10,14,1,0,0.009,2.926,2.935,9,45,46,22
10,15,1,0,0.006,2.324,2.33,5,25,26,13
10,16,1,0,0.009,3.054,3.063,9,45,46,22
10,17,1,0,0.008,2.895,2.903,8,40,41,20
10,18,1,0,0.007,3.263,3.27,9,45,46,22
10,19,1,0,0.007,2.957,2.964,7,35,36,18
10,20,1,0,0.007,3.346,3.353,9,45,46,22
10,21,1,0,0.006,3.115,3.121,8,40,41,20
10,22,1,0,0.006,3.238,3.244,9,45,46,22
10,23,1,0,0.005,2.719,2.725,6,30,31,15
10,24,1,0,0.008,3.262,3.27,9,45,46,22
10,25,1,0,0.007,3.097,3.104,8,40,41,20
10,26,1,0,0.006,3.195,3.2,9,45,46,22
10,27,1,0,0.005,2.861,2.867,7,35,36,18
10,28,1,0,0.009,3.526,3.534,9,45,46,22
10,29,1,0,0.007,3.205,3.212,8,40,41,20
10,30,1,0,0.007,3.328,3.335,9,45,46,22
10,31,1,0,0.005,2.557,2.561,4,20,21,10
10,32,1,0,0.009,3.467,3.476,9,45,46,22
10,33,1,0,0.008,3.338,3.346,8,40,41,20
10,34,1,0,0.007,3.516,3.523,9,45,46,22
10,35,1,0,0.007,3.169,3.175,7,35,36,18
10,36,1,0,0.007,3.829,3.836,9,45,46,22
10,37,1,0,0.006,3.522,3.528,8,40,41,20
10,38,1,0,0.006,3.661,3.667,9,45,46,22
10,39,1,0,0.005,3.196,3.201,6,30,31,15
10,40,1,0,0.007,3.76,3.767,9,45,46,22
10,41,1,0,0.006,3.776,3.782,8,40,41,20
10,42,1,0,0.005,3.809,3.814,9,45,46,22
10,43,1,0,0.004,3.492,3.496,7,35,36,18
10,44,1,0,0.006,3.87,3.876,9,45,46,22
10,45,1,0,0.004,3.618,3.623,8,40,41,20
10,46,1,0,0.006,3.8,3.806,9,45,46,22
10,47,1,0,0.004,3.206,3.21,5,25,26,13
10,48,1,0,0.008,3.923,3.931,9,45,46,22
10,49,1,0,0.007,3.757,3.763,8,40,41,20
10,50,1,0,0.006,3.913,3.919,9,45,46,22
10,51,1,0,0.005,3.606,3.612,7,35,36,18
10,52,1,0,0.006,3.988,3.994,9,45,46,22
10,53,1,0,0.004,3.744,3.749,8,40,41,20
10,54,1,0,0.004,3.849,3.853,9,45,46,22
10,55,1,0,0.004,3.351,3.354,6,30,31,15
10,56,1,0,0.009,4.161,4.169,9,45,46,22
10,57,1,0,0.007,3.985,3.992,8,40,41,20
10,58,1,0,0.006,4.054,4.06,9,45,46,22
10,59,1,0,0.006,3.709,3.715,7,35,36,18
10,60,1,0,0.007,3.989,3.997,9,45,46,22
10,61,1,0,0.006,3.729,3.735,8,40,41,20
10,62,1,0,0.008,3.925,3.933,9,45,46,22
10,63,1,0,0.003,3.006,3.009,3,15,16,8
10,64,1,0,0.009,4.475,4.484,9,45,46,22
10,65,1,0,0.008,4.31,4.318,8,40,41,20
10,66,1,0,0.007,4.443,4.45,9,45,46,22
10,67,1,0,0.007,4.373,4.38,7,35,36,18
10,68,1,0,0.007,4.778,4.785,9,45,46,22
10,69,1,0,0.006,4.541,4.546,8,40,41,20
10,70,1,0,0.006,4.668,4.673,9,45,46,22
10,71,1,0,0.005,4.184,4.189,6,30,31,15
10,72,1,0,0.007,4.727,4.734,9,45,46,22
10,73,1,0,0.006,4.557,4.563,8,40,41,20
10,74,1,0,0.005,4.606,4.611,9,45,46,22
10,75,1,0,0.004,4.284,4.288,7,35,36,18
10,76,1,0,0.006,4.652,4.657,9,45,46,22
10,77,1,0,0.004,4.392,4.396,8,40,41,20
10,78,1,0,0.006,4.592,4.598,9,45,46,22
10,79,1,0,0.004,4.014,4.018,5,25,26,13
10,80,1,0,0.007,4.724,4.731,9,45,46,22
10,81,1,0,0.006,4.576,4.582,8,40,41,20
10,82,1,0,0.005,4.722,4.727,9,45,46,22
10,83,1,0,0.004,4.409,4.413,7,35,36,18
10,84,1,0,0.005,4.81,4.814,9,45,46,22
10,85,1,0,0.004,4.566,4.57,8,40,41,20
10,86,1,0,0.004,4.682,4.685,9,45,46,22
10,87,1,0,0.003,4.141,4.144,6,30,31,15
10,88,1,0,0.006,4.669,4.675,9,45,46,22
10,89,1,0,0.004,4.515,4.519,8,40,41,20
10,90,1,0,0.004,4.607,4.61,9,45,46,22
10,91,1,0,0.003,4.257,4.26,7,35,36,18
10,92,1,0,0.006,4.734,4.74,9,45,46,22
10,93,1,0,0.005,4.398,4.403,8,40,41,20
10,94,1,0,0.007,4.861,4.868,11,55,57,27
10,95,1,0,0.002,3.801,3.804,4,20,21,10
10,96,1,0,0.008,4.649,4.657,9,45,46,22
10,97,1,0,0.007,4.501,4.507,8,40,41,20
10,98,1,0,0.006,4.88,4.885,9,45,46,22
10,99,1,0,0.005,4.329,4.334,7,35,36,18
10,100,1,0,0.006,4.531,4.537,9,45,46,22
10,101,1,0,0.004,4.262,4.267,8,40,41,20
10,102,1,0,0.004,4.401,4.406,9,45,46,22
10,103,1,0,0.004,3.931,3.935,6,30,31,15
10,104,1,0,0.006,4.695,4.701,9,45,46,22
10,105,1,0,0.004,4.509,4.513,8,40,41,20
10,106,1,0,0.004,4.341,4.344,9,45,46,22
10,107,1,0,0.003,4.024,4.027,7,35,36,18
10,108,1,0,0.004,4.585,4.59,9,45,46,22
10,109,1,0,0.003,4.333,4.336,8,40,41,20
10,110,1,0,0.005,4.311,4.316,9,45,46,22
10,111,1,0,0.002,3.719,3.722,5,25,26,13
10,112,1,0,0.009,4.477,4.485,9,45,46,22
10,113,1,0,0.007,4.333,4.34,8,40,41,20
10,114,1,0,0.006,4.486,4.492,9,45,46,22
10,115,1,0,0.006,4.18,4.186,7,35,36,18
10,116,1,0,0.006,4.577,4.583,9,45,46,22
10,117,1,0,0.005,4.334,4.339,8,40,41,20
10,118,1,0,0.005,4.645,4.65,9,45,46,22
10,119,1,0,0.004,4.114,4.118,6,30,31,15
10,120,1,0,0.007,4.643,4.65,9,45,46,22
10,121,1,0,0.006,4.65,4.656,8,40,41,20
10,122,1,0,0.005,4.746,4.751,9,45,46,22
10,123,1,0,0.004,4.422,4.427,7,35,36,18
10,124,1,0,0.008,4.829,4.837,9,45,46,22
10,125,1,0,0.006,4.554,4.56,8,40,41,20
10,126,1,0,0.006,4.629,4.635,9,45,46,22
10,127,1,0,0.002,3.664,3.666,2,10,11,5
10,128,1,0,0.009,4.774,4.784,9,45,46,22
10,129,1,0,0.008,4.822,4.83,8,40,41,20
10,130,1,0,0.007,4.976,4.983,9,45,46,22
10,131,1,0,0.007,4.689,4.696,7,35,36,18
10,132,1,0,0.007,5.111,5.118,9,45,46,22
10,133,1,0,0.006,4.848,4.854,8,40,41,20
10,134,1,0,0.006,4.988,4.994,9,45,46,22
10,135,1,0,0.005,4.503,4.508,6,30,31,15
10,136,1,0,0.007,5.052,5.059,9,45,46,22
10,137,1,0,0.006,4.876,4.882,8,40,41,20
10,138,1,0,0.005,4.937,4.942,9,45,46,22
10,139,1,0,0.004,4.627,4.632,7,35,36,18
10,140,1,0,0.006,4.982,4.988,9,45,46,22
10,141,1,0,0.004,4.722,4.727,8,40,41,20
10,142,1,0,0.006,4.904,4.911,9,45,46,22
10,143,1,0,0.004,4.339,4.343,5,25,26,13
10,144,1,0,0.007,5.077,5.084,9,45,46,22
10,145,1,0,0.006,4.924,4.93,8,40,41,20
10,146,1,0,0.005,5.076,5.081,9,45,46,22
10,147,1,0,0.004,4.75,4.755,7,35,36,18
10,148,1,0,0.005,5.139,5.144,9,45,46,22
10,149,1,0,0.004,5.13,5.134,8,40,41,20
10,150,1,0,0.004,5.234,5.237,9,45,46,22
10,151,1,0,0.003,4.727,4.73,6,30,31,15
10,152,1,0,0.006,5.257,5.263,9,45,46,22
10,153,1,0,0.004,5.085,5.09,8,40,41,20
10,154,1,0,0.004,5.17,5.173,9,45,46,22
10,155,1,0,0.003,4.836,4.839,7,35,36,18
10,156,1,0,0.006,5.308,5.314,9,45,46,22
10,157,1,0,0.005,4.994,4.999,8,40,41,20
10,158,1,0,0.008,5.497,5.505,11,55,57,27
10,159,1,0,0.002,4.408,4.411,4,20,21,10
10,160,1,0,0.007,5.265,5.272,9,45,46,22
10,161,1,0,0.006,5.141,5.147,8,40,41,20
10,162,1,0,0.005,5.312,5.317,9,45,46,22
10,163,1,0,0.004,4.971,4.975,7,35,36,18
10,164,1,0,0.005,5.417,5.422,9,45,46,22
10,165,1,0,0.004,5.114,5.117,8,40,41,20
10,166,1,0,0.004,5.253,5.256,9,45,46,22
10,167,1,0,0.003,4.794,4.797,6,30,31,15
10,168,1,0,0.005,5.344,5.349,9,45,46,22
10,169,1,0,0.004,4.942,4.946,8,40,41,20
10,170,1,0,0.003,4.988,4.991,9,45,46,22
10,171,1,0,0.002,4.671,4.673,7,35,36,18
10,172,1,0,0.004,5.047,5.05,9,45,46,22
10,173,1,0,0.002,4.789,4.791,8,40,41,20
10,174,1,0,0.004,4.976,4.98,9,45,46,22
10,175,1,0,0.002,4.383,4.384,5,25,26,13
10,176,1,0,0.006,5.112,5.118,9,45,46,22
10,177,1,0,0.004,5.16,5.165,8,40,41,20
10,178,1,0,0.004,5.31,5.313,9,45,46,22
10,179,1,0,0.003,4.996,4.999,7,35,36,18
10,180,1,0,0.004,5.367,5.37,9,45,46,22
10,181,1,0,0.002,5.134,5.136,8,40,41,20
10,182,1,0,0.002,5.239,5.242,9,45,46,22
10,183,1,0,0.002,4.719,4.72,6,30,31,15
10,184,1,0,0.006,5.337,5.344,9,45,46,22
10,185,1,0,0.005,5.154,5.159,8,40,41,20
10,186,1,0,0.004,5.223,5.227,9,45,46,22
10,187,1,0,0.004,4.874,4.877,7,35,36,18
10,188,1,0,0.005,5.152,5.157,9,45,46,22
10,189,1,0,0.004,4.875,4.879,8,40,41,20
10,190,1,0,0.005,5.072,5.077,9,45,46,22
10,191,1,0,0.001,4.212,4.213,3,15,16,8
10,192,1,0,0.008,5.276,5.284,9,45,46,22
10,193,1,0,0.007,5.105,5.112,8,40,41,20
10,194,1,0,0.006,5.231,5.237,9,45,46,22
10,195,1,0,0.005,4.749,4.754,7,35,36,18
10,196,1,0,0.006,5.135,5.141,9,45,46,22
10,197,1,0,0.004,5.101,5.105,8,40,41,20
10,198,1,0,0.004,5.233,5.238,9,45,46,22
10,199,1,0,0.004,4.75,4.754,6,30,31,15
10,200,1,0,0.006,5.292,5.298,9,45,46,22
10,201,1,0,0.004,5.123,5.128,8,40,41,20
10,202,1,0,0.004,5.178,5.182,9,45,46,22
10,203,1,0,0.003,4.85,4.853,7,35,36,18
10,204,1,0,0.004,5.217,5.222,9,45,46,22
10,205,1,0,0.003,4.958,4.961,8,40,41,20
10,206,1,0,0.005,5.146,5.151,9,45,46,22
10,207,1,0,0.002,4.772,4.775,5,25,26,13
10,208,1,0,0.006,5.482,5.488,9,45,46,22
10,209,1,0,0.004,5.333,5.338,8,40,41,20
10,210,1,0,0.004,5.479,5.482,9,45,46,22
10,211,1,0,0.003,5.166,5.169,7,35,36,18
10,212,1,0,0.004,5.561,5.564,9,45,46,22
10,213,1,0,0.002,5.317,5.319,8,40,41,20
10,214,1,0,0.002,5.427,5.429,9,45,46,22
10,215,1,0,0.002,4.684,4.685,6,30,31,15
10,216,1,0,0.004,5.212,5.216,9,45,46,22
10,217,1,0,0.003,5.261,5.264,8,40,41,20
10,218,1,0,0.002,5.353,5.355,9,45,46,22
10,219,1,0,0.002,5.009,5.011,7,35,36,18
10,220,1,0,0.005,5.479,5.484,9,45,46,22
10,221,1,0,0.004,5.151,5.154,8,40,41,20
10,222,1,0,0.004,5.269,5.272,9,45,46,22
10,223,1,0,0.001,4.56,4.561,4,20,21,10
10,224,1,0,0.009,5.478,5.487,9,45,46,22
10,225,1,0,0.007,5.338,5.345,8,40,41,20
10,226,1,0,0.006,5.503,5.51,9,45,46,22
10,227,1,0,0.006,5.161,5.167,7,35,36,18
10,228,1,0,0.006,5.586,5.592,9,45,46,22
10,229,1,0,0.005,5.303,5.308,8,40,41,20
10,230,1,0,0.005,5.442,5.447,9,45,46,22
10,231,1,0,0.004,4.979,4.983,6,30,31,15
10,232,1,0,0.006,5.747,5.753,9,45,46,22
10,233,1,0,0.005,5.552,5.557,8,40,41,20
10,234,1,0,0.004,5.38,5.384,9,45,46,22
10,235,1,0,0.004,5.063,5.067,7,35,36,18
10,236,1,0,0.005,5.423,5.428,9,45,46,22
10,237,1,0,0.004,5.373,5.377,8,40,41,20
10,238,1,0,0.005,5.561,5.566,9,45,46,22
10,239,1,0,0.003,4.953,4.956,5,25,26,13
10,240,1,0,0.007,5.669,5.676,9,45,46,22
10,241,1,0,0.006,5.509,5.515,8,40,41,20
10,242,1,0,0.005,5.641,5.646,9,45,46,22
10,243,1,0,0.004,5.334,5.339,7,35,36,18
10,244,1,0,0.005,5.716,5.721,9,45,46,22
10,245,1,0,0.004,5.467,5.47,8,40,41,20
10,246,1,0,0.004,5.589,5.592,9,45,46,22
10,247,1,0,0.003,5.081,5.084,6,30,31,15
10,248,1,0,0.008,5.864,5.871,9,45,46,22
10,249,1,0,0.006,5.459,5.465,8,40,41,20
10,250,1,0,0.005,5.528,5.534,9,45,46,22
10,251,1,0,0.005,5.191,5.196,7,35,36,18
10,252,1,0,0.006,5.547,5.553,9,45,46,22
10,253,1,0,0.005,5.078,5.083,8,40,41,20
10,254,1,0,0.007,5.221,5.227,9,45,46,22
10,255,1,0,0.001,4.058,4.059,1,5,6,3
10,256,1,0,0.01,5.407,5.417,9,45,46,22
10,257,1,0,0.009,5.226,5.234,8,40,41,20
10,258,1,0,0.008,5.335,5.343,9,45,46,22
10,259,1,0,0.007,5.093,5.101,7,35,36,18
10,260,1,0,0.008,5.47,5.478,9,45,46,22
10,261,1,0,0.007,5.221,5.228,8,40,41,20
10,262,1,0,0.007,5.355,5.361,9,45,46,22
10,263,1,0,0.006,4.883,4.889,6,30,31,15
10,264,1,0,0.008,5.672,5.68,9,45,46,22
10,265,1,0,0.007,5.516,5.523,8,40,41,20
10,266,1,0,0.006,5.556,5.562,9,45,46,22
10,267,1,0,0.005,5.241,5.247,7,35,36,18
10,268,1,0,0.007,5.603,5.61,9,45,46,22
10,269,1,0,0.005,5.349,5.354,8,40,41,20
10,270,1,0,0.007,5.539,5.546,9,45,46,22
10,271,1,0,0.005,4.945,4.95,5,25,26,13
10,272,1,0,0.008,6.115,6.123,9,45,46,22
10,273,1,0,0.007,5.956,5.963,8,40,41,20
10,274,1,0,0.006,6.102,6.108,9,45,46,22
